id,transect,habitat,sex
49,P2,urban,M
108,P2,urban,F
113,P2,urban,M
118,P2,urban,F
239,P2,urban,Sub
248,P2,urban,M
249,P2,urban,Sub
250,P2,urban,M
251,P2,urban,M
256,P2,urban,M
271,P2,urban,M
279,P2,urban,Sub
353,P2,urban,F
354,P2,urban,F
355,P2,urban,F
358,P2,urban,M
359,P2,urban,M
366,P2,urban,Sub
367,P2,urban,F
374,P2,urban,M
379,P2,urban,M
387,P2,urban,F
401,P2,urban,F
402,P2,urban,F
404,P2,urban,M
412,P2,urban,M
418,P2,urban,F
