nest_key,year,eggs_laid,female_id,male_id,found_date,hatch_date,eggs_hatched,fledglings,fledge_date,clutch_number,fail_date,found_day,hatch_day,first_egg_day,female_status,female_age,female_age_code,male_age,male_age_code,popn_size,annual_density,band_id,sex,weight,age_in_days,recruited,fledge_date_noNA,recruited.f,clutch_num,fledge_day
92-P23A,1992,4,2031.57062,2031.57341,1992-06-08,1992-06-15,4,4,1992-06-24,1,NA,160,167,150,MO,1,SY,1,SY,96,8.971962616822431,2031.57858,U,10.9,7,FALSE,1992-06-24,0,1,176
95-O24E,1995,5,2121.64091,2031.58279,1995-06-22,1995-06-30,5,5,NA,ER1,NA,173,181,163,PG 2,1,SY,2,ASY,98,9.158878504672899,2121.64325,U,10.9,7,FALSE,1995-07-09,0,1,190
98-L27B,1998,4,2121.64803,2151.80608,1998-07-13,1998-07-15,4,4,NA,2,NA,194,196,179,MO,2,ASY,3,ASY,82,7.663551401869159,2121.65588,U,10.9,7,FALSE,1998-07-24,0,2,205
101-M27D,2001,4,2121.65706,1560.04560,2001-07-05,2001-07-11,4,3,NA,2,NA,186,192,175,MO,2,ASY,1,SY,96,8.971962616822431,1560.04596,U,10.9,7,FALSE,2001-07-20,0,2,201
96-O24A,1996,4,2121.86823,2031.58842,1996-05-30,1996-06-04,4,4,NA,1,NA,151,156,139,PG 1,3,ASY,1,SY,73,6.822429906542056,2121.64435,U,10.9,7,FALSE,1996-06-13,0,1,165
113-N24B,2013,4,2311.96155,2311.96022,2013-07-08,2013-07-18,2,2,2013-07-27,2,NA,189,199,182,PG 1,5,ASY,5,ASY,103,9.626168224299066,2591.93574,U,10.9,7,FALSE,2013-07-27,0,2,208
113-N27A,2013,4,2511.98537,1741.81991,2013-05-31,2013-06-10,4,4,2013-06-19,1,NA,151,161,144,MO,2,ASY,5,ASY,103,9.626168224299066,2591.93418,U,10.9,7,FALSE,2013-06-19,0,1,170
113-P23A,2013,4,2511.98765,2511.98847,2013-06-11,2013-06-17,4,1,2013-06-27,1,NA,162,168,151,MO,1,SY,1,SY,103,9.626168224299066,2591.93487,U,10.9,7,FALSE,2013-06-27,0,1,178
114-M25D,2014,5,2511.98765,2511.98849,2014-06-17,2014-06-27,4,4,NA,RR1,NA,168,178,160,MO,2,ASY,2,ASY,62,5.794392523364486,2521.77424,U,10.9,7,FALSE,2014-07-06,0,1,187
116-M26A,2016,4,2521.77742,2591.93779,2016-05-29,2016-06-05,4,4,2016-06-14,1,NA,150,157,140,MO,2,ASY,2,ASY,51,4.766355140186916,2621.66834,U,10.9,7,FALSE,2016-06-14,0,1,166
122-P24B,2022,4,2781.39207,2781.39563,2022-06-29,2022-07-09,4,3,2022-07-18,2,NA,180,190,173,MO,2,ASY,1,SY,65,6.074766355140187,2871.51738,U,10.9,7,FALSE,2022-07-18,0,2,199
102-O24D,2002,4,1741.07032,2031.56233,2002-06-18,2002-06-30,4,3,2002-07-10,R1,NA,169,181,164,PG 2,1,SY,2,ASY,110,10.280373831775702,1741.07300,U,11,7,FALSE,2002-07-10,0,1,191
93-P25A,1993,5,2011.81954,2011.81137,1993-06-02,1993-06-05,5,5,1993-06-14,1,NA,153,156,138,MO,2,ASY,2,ASY,92,8.598130841121495,2031.56869,U,11,7,FALSE,1993-06-14,0,1,165
89-M18B,1989,4,2021.76157,2011.81508,1989-06-16,1989-06-27,4,4,1989-07-06,R1,NA,167,178,161,MO,1,SY,1,SY,117,10.934579439252337,2021.76379,M?,11,7,TRUE,1989-07-06,1,1,187
89-M19D,1989,4,2021.76164,2021.76134,1989-07-01,1989-07-13,4,4,1989-07-22,E2,NA,182,194,177,PG 2,1,SY,1,SY,117,10.934579439252337,2021.76910,U,11,7,FALSE,1989-07-22,0,2,203
90-K28C,1990,3,2021.76937,2021.76974,1990-07-18,1990-07-29,3,3,1990-08-07,2,NA,199,210,194,PG 2,1,SY,1,SY,100,9.345794392523365,2031.56755,U,11,7,FALSE,1990-08-07,0,2,219
93-M19B,1993,4,2031.56856,2031.57086,1993-06-23,1993-07-09,4,4,1993-07-18,2,NA,174,190,173,PG 1,1,SY,2,ASY,92,8.598130841121495,2031.58771,U,11,7,FALSE,1993-07-18,0,2,199
94-N30B,1994,5,2031.58541,2111.33233,1994-06-18,1994-06-22,5,5,1994-07-03,ER1,NA,169,173,155,MO,1,SY,2,ASY,90,8.41121495327103,2121.64069,U,11,7,FALSE,1994-07-03,0,1,184
117-N30B,2017,5,2031.60089,2511.98825,2017-06-24,2017-06-25,5,3,NA,R1,NA,175,176,158,MO,1,SY,2,ASY,65,6.074766355140187,1741.82293,U,11,7,TRUE,2017-07-04,1,1,185
97-N28E,1997,3,2121.64969,2121.64910,1997-07-10,1997-07-18,3,3,NA,RR1,NA,191,199,183,MO,1,SY,1,SY,81,7.570093457943925,2121.65192,U,11,7,FALSE,1997-07-27,0,1,208
112-M19G,2012,3,2401.76807,2401.76856,2012-07-12,2012-07-17,3,3,2012-07-26,2,NA,194,199,183,MO,1,SY,1,SY,108,10.093457943925234,2511.98758,U,11,7,FALSE,2012-07-26,0,2,208
113-N26B,2013,5,2511.98501,2511.98523,2013-06-19,2013-06-30,5,3,2013-07-09,R1,NA,170,181,163,MO,2,ASY,2,ASY,103,9.626168224299066,2591.93525,U,11,7,FALSE,2013-07-09,0,1,190
113-N27F,2013,4,2511.98537,1741.81991,2013-07-10,2013-07-20,4,3,2013-07-29,2,NA,191,201,184,MO,2,ASY,5,ASY,103,9.626168224299066,2591.93586,U,11,7,FALSE,2013-07-29,0,2,210
113-O24D,2013,4,2511.98647,2311.96022,2013-06-19,2013-06-28,3,3,2013-07-07,1,NA,170,179,162,PG 2,1,SY,5,ASY,103,9.626168224299066,2591.93518,U,11,7,FALSE,2013-07-07,0,1,188
113-P24A,2013,4,2511.98660,2401.76835,2013-05-30,2013-06-10,4,4,2013-06-19,1,NA,150,161,144,MO,1,SY,2,ASY,103,9.626168224299066,2591.93423,U,11,7,FALSE,2013-06-19,0,1,170
115-L32B,2015,4,2591.93720,2511.98826,2015-07-13,2015-07-23,4,4,2015-08-01,2,NA,194,204,187,PG 1,2,ASY,2,ASY,56,5.233644859813085,2621.66735,U,11,7,FALSE,2015-08-01,0,2,213
121-N28C,2021,3,2621.66803,2781.39254,2021-07-06,2021-07-09,3,3,2021-07-18,2,NA,187,190,174,MO,2,ASY,2,ASY,77,7.196261682242991,2781.39432,NA,11,7,FALSE,2021-07-18,0,2,199
121-N27B,2021,5,2781.39252,2781.39227,2021-06-03,2021-06-17,5,5,2021-06-26,1,NA,154,168,150,MO,2,ASY,2,ASY,77,7.196261682242991,2781.39384,NA,11,7,FALSE,2021-06-26,0,1,177
122-N29A,2022,4,2781.39268,2781.39562,2022-05-26,2022-05-31,4,4,2022-06-09,1,NA,146,151,134,PG 1,3,ASY,1,SY,65,6.074766355140187,2781.39597,U,11,7,TRUE,2022-06-09,1,1,160
102-M32B,2002,4,1560.05109,1560.04586,2002-06-07,2002-06-16,4,3,2002-06-27,1,NA,158,167,150,PG 2,1,SY,2,ASY,110,10.280373831775702,1741.07171,U,11.1,7,FALSE,2002-06-27,0,1,178
103-N31C,2003,4,1741.07041,2121.65636,2003-07-08,2003-07-16,4,4,2003-07-27,R1,NA,189,197,180,PG 2,2,ASY,2,ASY,56,5.233644859813085,1741.07817,U,11.1,7,FALSE,2003-07-27,0,1,208
103-N28A,2003,4,1741.07108,1741.07362,2003-07-02,2003-07-11,4,4,2003-07-21,R1,NA,183,192,175,PG 2,1,SY,1,SY,56,5.233644859813085,1741.07799,U,11.1,7,FALSE,2003-07-21,0,1,202
91-M24B,1991,5,2021.76885,2011.81971,1991-05-31,1991-06-11,5,4,1991-06-20,1,NA,151,162,144,PG 2,2,ASY,3,ASY,110,10.280373831775702,2031.56948,U,11.1,7,FALSE,1991-06-20,0,1,171
91-M25B,1991,4,2031.56586,2031.56145,1991-06-27,1991-07-08,4,3,1991-07-17,R1,NA,178,189,172,MO,1,SY,1,SY,110,10.280373831775702,2031.57331,U,11.1,7,FALSE,1991-07-17,0,1,198
101-N29A,2001,4,2031.57558,2121.65605,2001-06-04,2001-06-10,4,4,NA,1,NA,155,161,144,MO,2,ASY,2,ASY,96,8.971962616822431,930.59529,U,11.1,7,FALSE,2001-06-19,0,1,170
100-M28D,2000,4,2031.57569,2121.65506,2000-06-14,2000-06-24,4,3,2000-07-04,ER1,NA,166,176,159,PG 2,1,SY,2,ASY,80,7.476635514018692,999.00015,U,11.1,7,FALSE,2000-07-04,0,1,186
93-O25F,1993,4,2031.57908,2031.57967,1993-07-05,1993-07-15,3,3,1993-07-24,ERRR1,NA,186,196,179,PG 2,1,SY,1,SY,92,8.598130841121495,2031.58406,U,11.1,7,FALSE,1993-07-24,0,1,205
98-N28C,1998,4,2121.64720,2121.64910,1998-06-26,1998-07-04,4,4,NA,R1,NA,177,185,168,PG 2,1,SY,2,ASY,82,7.663551401869159,2121.65541,U,11.1,7,FALSE,1998-07-13,0,1,194
97-M28C,1997,4,2121.64889,2121.64955,1997-07-02,1997-07-08,4,4,NA,2,NA,183,189,172,MO,1,SY,1,SY,81,7.570093457943925,2121.65162,U,11.1,7,FALSE,1997-07-17,0,2,198
100-O24E,2000,4,2121.65625,2121.65378,2000-06-30,2000-07-10,4,2,2000-07-22,R1,NA,182,192,175,MO,1,SY,2,ASY,80,7.476635514018692,930.59763,U,11.1,7,FALSE,2000-07-22,0,1,204
112-M20B,2012,5,2321.12782,2401.76819,2012-06-15,2012-06-20,4,4,2012-06-29,1,NA,167,172,154,MO,2,ASY,1,SY,108,10.093457943925234,2511.98652,U,11.1,7,FALSE,2012-06-29,0,1,181
114-O27C,2014,5,2511.98576,2511.98706,2014-06-23,2014-07-03,4,4,2014-07-12,R1,NA,174,184,166,MO,2,ASY,2,ASY,62,5.794392523364486,2521.77438,U,11.1,7,FALSE,2014-07-12,0,1,193
114-M25D,2014,5,2511.98765,2511.98849,2014-06-17,2014-06-27,4,4,NA,RR1,NA,168,178,160,MO,2,ASY,2,ASY,62,5.794392523364486,2521.77421,U,11.1,7,FALSE,2014-07-06,0,1,187
115-N27A,2015,4,2521.77742,2521.77599,2015-07-01,2015-07-10,2,2,2015-07-19,1,NA,182,191,174,MO,1,SY,1,SY,56,5.233644859813085,2521.77788,U,11.1,7,FALSE,2015-07-19,0,1,200
121-N29A,2021,3,2781.39390,2781.39231,2021-06-23,2021-06-23,3,3,2021-07-02,ER1,NA,174,174,158,PG 2,1,SY,1,SY,77,7.196261682242991,2781.39406,NA,11.1,7,FALSE,2021-07-02,0,1,183
102-N23B,2002,4,930.59641,930.59649,2002-06-25,2002-07-07,3,3,2002-07-18,R1,NA,176,188,171,MO,1,SY,1,SY,110,10.280373831775702,1741.07069,U,11.1,7,FALSE,2002-07-18,0,1,199
103-M26B,2003,4,930.59733,1741.07417,2003-06-10,2003-06-19,4,4,2003-06-29,1,NA,161,170,153,PG 2,3,ASY,1,SY,56,5.233644859813085,1741.07707,U,11.1,7,FALSE,2003-06-29,0,1,180
102-O27A,2002,4,930.59770,1560.05060,2002-06-15,2002-06-14,4,3,2002-06-24,1,NA,166,165,148,PG 2,2,ASY,1,SY,110,10.280373831775702,1741.07157,U,11.1,7,FALSE,2002-06-24,0,1,175
89-P24B,1989,4,940.25327,2011.81370,1989-07-04,1989-07-11,4,3,1989-07-20,2,NA,185,192,175,MO,2,ASY,2,ASY,117,10.934579439252337,2021.76883,U,11.1,7,FALSE,1989-07-20,0,2,201
89-O24E,1989,5,940.25781,940.25804,1989-06-14,1989-06-23,5,4,1989-07-02,ER1,NA,165,174,156,PG 2,2,ASY,2,ASY,117,10.934579439252337,2021.76582,U,11.1,7,FALSE,1989-07-02,0,1,183
102-P23A,2002,4,1741.07012,1560.05097,2002-06-13,2002-06-24,4,1,2002-07-03,1,NA,164,175,158,PG 1,1,SY,1,SY,110,10.280373831775702,1741.07267,U,11.2,7,FALSE,2002-07-03,0,1,184
103-N26A,2003,4,1741.07056,1741.07414,2003-06-08,2003-06-26,4,4,2003-07-06,1,NA,159,177,160,PG 2,1,SY,1,SY,56,5.233644859813085,1741.07742,U,11.2,7,FALSE,2003-07-06,0,1,187
103-K28C,2003,4,1741.07368,1741.07030,2003-06-24,2003-07-06,4,4,2003-07-16,ERR1,NA,175,187,170,PG 2,1,SY,2,ASY,56,5.233644859813085,1741.07776,U,11.2,7,FALSE,2003-07-16,0,1,197
90-M27C,1990,4,2021.76526,2021.76856,1990-06-27,1990-07-04,4,4,1990-07-13,RR1,NA,178,185,168,MO,1,SY,1,SY,100,9.345794392523365,2031.56159,U,11.2,7,FALSE,1990-07-13,0,1,194
94-O29A,1994,5,2031.58554,2031.58559,1994-06-11,1994-06-21,5,5,1994-07-02,R1,NA,162,172,154,PG 1,1,SY,1,SY,90,8.41121495327103,2121.64068,U,11.2,7,FALSE,1994-07-02,0,1,183
95-M24A,1995,4,2031.58722,2031.57361,1995-07-04,1995-07-12,4,3,NA,2,NA,185,193,176,PG 1,2,ASY,4,ASY,98,9.158878504672899,2121.64385,U,11.2,7,FALSE,1995-07-21,0,2,202
118-N31A,2018,4,2031.60089,2511.98825,2018-05-31,2018-06-07,4,4,2018-06-16,1,NA,151,158,141,MO,2,ASY,2,ASY,72,6.728971962616823,2631.94915,NA,11.2,7,FALSE,2018-06-16,0,1,167
99-M27D,1999,3,2121.65303,2121.65601,1999-06-23,1999-07-01,3,3,NA,R1,NA,174,182,166,MO,1,SY,1,SY,111,10.373831775700936,2121.65955,U,11.2,7,FALSE,1999-07-10,0,1,191
102-M20D,2002,5,2121.65504,930.59538,2002-06-30,2002-07-08,5,4,2002-07-18,2,NA,181,189,171,MO,4,ASY,1,SY,110,10.280373831775702,1741.07084,U,11.2,7,FALSE,2002-07-18,0,2,199
101-M27D,2001,4,2121.65706,1560.04560,2001-07-05,2001-07-11,4,3,NA,2,NA,186,192,175,MO,2,ASY,1,SY,96,8.971962616822431,1560.04597,U,11.2,7,FALSE,2001-07-20,0,2,201
111-M33B,2011,4,2321.12705,2321.12888,2011-07-11,2011-07-16,4,4,NA,2,NA,192,197,180,PG 2,1,SY,1,SY,65,6.074766355140187,2401.76937,NA,11.2,7,FALSE,2011-07-25,0,2,206
113-M20B,2013,4,2401.76808,2321.12712,2013-07-04,2013-07-15,3,3,2013-07-26,R1,NA,185,196,179,PG 2,2,ASY,3,ASY,103,9.626168224299066,2591.93571,U,11.2,7,FALSE,2013-07-26,0,1,207
112-M33C,2012,4,2511.98705,2401.76900,2012-07-08,2012-07-18,3,3,2012-07-27,RR1,NA,190,200,183,MO,1,SY,1,SY,108,10.093457943925234,2511.98786,U,11.2,7,FALSE,2012-07-27,0,1,209
118-M29C,2018,3,2511.98894,2511.98843,2018-06-27,2018-07-07,3,3,2018-07-14,RR1,NA,178,188,172,MO,5,ASY,2,ASY,72,6.728971962616823,2631.95035,NA,11.2,7,FALSE,2018-07-14,0,1,195
121-M27C,2021,4,2781.39213,2031.60673,2021-06-26,2021-07-07,3,3,2021-07-16,2,NA,177,188,171,MO,2,ASY,4,ASY,77,7.196261682242991,2781.39428,NA,11.2,7,FALSE,2021-07-16,0,2,197
122-N27B,2022,4,2781.39251,2031.60707,2022-06-18,2022-06-26,4,4,2022-07-05,R1,NA,169,177,160,MO,2,ASY,2,ASY,65,6.074766355140187,2871.51698,U,11.2,7,FALSE,2022-07-05,0,1,186
122-O26E,2022,4,2781.39396,2781.39224,2022-07-16,2022-07-23,3,3,2022-08-02,R2,NA,197,204,187,PG 1,3,ASY,3,ASY,65,6.074766355140187,2871.51779,U,11.2,7,FALSE,2022-08-02,0,2,214
121-O26G,2021,4,2781.39411,2781.39220,2021-06-29,2021-07-11,4,4,2021-07-20,ERR1,NA,180,192,175,MO,1,SY,1,SY,77,7.196261682242991,2781.39445,NA,11.2,7,FALSE,2021-07-20,0,1,201
122-O25B,2022,5,2871.51619,2781.39560,2022-05-27,2022-06-08,5,5,2022-06-17,1,NA,147,159,141,MO,1,SY,1,SY,65,6.074766355140187,2871.51622,U,11.2,7,FALSE,2022-06-17,0,1,168
103-N30A,2003,4,930.59517,930.59745,2003-07-07,2003-07-14,4,3,2003-07-26,2,NA,188,195,178,PG 1,2,ASY,3,ASY,56,5.233644859813085,1741.07811,U,11.2,7,FALSE,2003-07-26,0,2,207
102-M29D,2002,4,930.59518,930.59854,2002-06-15,2002-06-26,3,2,2002-07-07,ER1,NA,166,177,160,PG 2,1,SY,2,ASY,110,10.280373831775702,1741.07281,U,11.2,7,FALSE,2002-07-07,0,1,188
102-N31A,2002,5,930.59852,1560.04569,2002-06-06,2002-06-17,4,4,2002-06-28,1,NA,157,168,150,PG 1,2,ASY,2,ASY,110,10.280373831775702,1741.07188,U,11.2,7,FALSE,2002-06-28,0,1,179
88-P24B,1988,4,940.25803,1560.04207,1988-07-20,1988-07-20,4,4,1988-07-29,2,NA,202,202,185,MO,2,ASY,2,ASY,104,9.7196261682243,2020.39714,U,11.2,7,FALSE,1988-07-29,0,2,211
102-M27C,2002,4,1741.07023,1560.05044,2002-06-13,2002-06-23,4,4,2002-07-03,1,NA,164,174,157,MO,1,SY,1,SY,110,10.280373831775702,1741.07254,U,11.3,7,FALSE,2002-07-03,0,1,184
89-O26C,1989,4,2011.81064,2011.81938,1989-06-12,1989-06-23,4,4,1989-07-02,R1,NA,163,174,157,PG 1,2,ASY,1,SY,117,10.934579439252337,2021.76562,U,11.3,7,FALSE,1989-07-02,0,1,183
90-N27A,1990,6,2021.76442,2011.81173,1990-06-26,1990-07-06,6,3,1990-07-15,2,NA,177,187,168,MO,1,SY,2,ASY,100,9.345794392523365,2031.56179,U,11.3,7,FALSE,1990-07-15,0,2,196
94-M24B,1994,5,2031.58805,2031.57361,1994-06-27,1994-07-06,5,4,1994-07-13,R1,NA,178,187,169,PG 2,1,SY,3,ASY,90,8.41121495327103,2121.64160,F,11.3,7,TRUE,1994-07-13,1,1,194
95-M29E,1995,3,2031.58826,2151.80176,1995-07-10,1995-07-21,3,3,NA,RER1,NA,191,202,186,MO,1,SY,1,SY,98,9.158878504672899,2121.64421,U,11.3,7,FALSE,1995-07-30,0,1,211
93-O24E,1993,5,2111.33451,2031.57967,1993-07-01,1993-07-07,4,4,1993-07-16,RR1,NA,182,188,170,PG 2,1,SY,1,SY,92,8.598130841121495,2031.58758,U,11.3,7,FALSE,1993-07-16,0,1,197
96-O29B,1996,5,2121.64192,2031.58831,1996-06-17,1996-06-26,5,5,NA,R1,NA,169,178,160,MO,2,ASY,2,ASY,73,6.822429906542056,2031.58887,M,11.3,7,TRUE,1996-07-05,1,1,187
100-M30B,2000,4,2121.65351,2121.65308,2000-06-12,2000-06-17,4,4,2000-06-28,1,NA,164,169,152,PG 2,2,ASY,2,ASY,80,7.476635514018692,2031.56281,F,11.3,7,TRUE,2000-06-28,1,1,180
101-M27D,2001,4,2121.65706,1560.04560,2001-07-05,2001-07-11,4,3,NA,2,NA,186,192,175,MO,2,ASY,1,SY,96,8.971962616822431,1560.04598,U,11.3,7,FALSE,2001-07-20,0,2,201
112-O24G,2012,4,2321.12709,1741.07569,2012-07-08,2012-07-17,4,4,2012-07-26,R2,NA,190,199,182,MO,2,ASY,2,ASY,108,10.093457943925234,2511.98767,U,11.3,7,FALSE,2012-07-26,0,2,208
113-M20B,2013,4,2401.76808,2321.12712,2013-07-04,2013-07-15,3,3,2013-07-26,R1,NA,185,196,179,PG 2,2,ASY,3,ASY,103,9.626168224299066,2591.93572,U,11.3,7,FALSE,2013-07-26,0,1,207
113-L32A,2013,5,2401.76998,2401.76837,2013-06-05,2013-06-15,3,3,2013-06-24,1,NA,156,166,148,MO,2,ASY,2,ASY,103,9.626168224299066,2591.93485,U,11.3,7,FALSE,2013-06-24,0,1,175
112-N26F,2012,3,2511.98501,2401.76858,2012-07-11,2012-07-18,3,3,2012-07-27,2,NA,193,200,184,MO,1,SY,1,SY,108,10.093457943925234,2511.98782,U,11.3,7,FALSE,2012-07-27,0,2,209
112-P23A,2012,4,2511.98516,2321.12843,2012-06-08,2012-06-07,4,4,2012-06-18,1,NA,160,159,142,PG 1,1,SY,2,ASY,108,10.093457943925234,2511.98564,U,11.3,7,FALSE,2012-06-18,0,1,170
118-M33C,2018,4,2511.98823,2031.60679,2018-06-19,2018-06-26,4,4,2018-07-05,R1,NA,170,177,160,MO,2,ASY,1,SY,72,6.728971962616823,2631.94974,NA,11.3,7,FALSE,2018-07-05,0,1,186
118-M32E,2018,4,2621.66821,2031.60059,2018-07-08,2018-07-12,4,4,2018-07-21,R1,NA,189,193,176,MO,2,ASY,2,ASY,72,6.728971962616823,2631.95055,NA,11.3,7,FALSE,2018-07-21,0,1,202
122-M25B,2022,4,2781.39208,2621.66881,2022-06-27,2022-07-03,4,4,2022-07-13,2,NA,178,184,167,MO,2,ASY,6,ASY,65,6.074766355140187,2871.51730,U,11.3,7,TRUE,2022-07-13,1,2,194
121-M31B,2021,5,2781.39237,2631.94907,2021-06-02,2021-06-07,5,4,2021-06-16,1,NA,153,158,140,MO,1,SY,3,ASY,77,7.196261682242991,2781.39273,NA,11.3,7,FALSE,2021-06-16,0,1,167
102-M27C,2002,4,1741.07023,1560.05044,2002-06-13,2002-06-23,4,4,2002-07-03,1,NA,164,174,157,MO,1,SY,1,SY,110,10.280373831775702,1741.07253,U,11.4,7,FALSE,2002-07-03,0,1,184
90-N24B,1990,4,2011.81162,2021.76846,1990-06-13,1990-06-19,4,3,1990-06-28,1,NA,164,170,153,PG 1,2,ASY,1,SY,100,9.345794392523365,2031.56083,U,11.4,7,FALSE,1990-06-28,0,1,179
90-L26B,1990,4,2011.81915,940.25652,1990-07-11,1990-07-12,4,4,1990-07-21,2,NA,192,193,176,MO,2,ASY,2,ASY,100,9.345794392523365,2031.56523,U,11.4,7,FALSE,1990-07-21,0,2,202
92-M26I,1992,5,2011.81915,2031.56518,1992-07-07,1992-07-11,5,4,1992-07-20,2,NA,189,193,175,MO,2,ASY,2,ASY,96,8.971962616822431,2031.57989,U,11.4,7,FALSE,1992-07-20,0,2,202
92-O26E,1992,5,2021.76950,2031.57339,1992-07-08,1992-07-10,4,3,1992-07-19,2,NA,190,192,174,PG 1,2,ASY,1,SY,96,8.971962616822431,2031.57986,U,11.4,7,FALSE,1992-07-19,0,2,201
99-M19A,1999,5,2031.58841,2121.65147,1999-06-01,1999-06-06,5,5,NA,1,NA,152,157,139,MO,4,ASY,2,ASY,111,10.373831775700936,2121.65705,F,11.4,7,TRUE,1999-06-15,1,1,166
121-N30B,2021,4,2031.60762,2781.39226,2021-06-25,2021-06-27,4,3,2021-07-06,ER1,NA,176,178,161,PG 1,2,ASY,2,ASY,77,7.196261682242991,2781.39416,NA,11.4,7,FALSE,2021-07-06,0,1,187
93-O29A,1993,5,2111.33198,2031.57914,1993-06-14,1993-06-23,5,5,1993-07-02,ER1,NA,165,174,156,PG 1,1,SY,1,SY,92,8.598130841121495,2031.58523,U,11.4,7,FALSE,1993-07-02,0,1,183
100-M27C,2000,5,2121.65612,2121.64768,2000-06-13,2000-06-23,5,5,2000-07-04,ER1,NA,165,175,157,PG 2,2,ASY,2,ASY,80,7.476635514018692,2031.58997,F,11.4,7,TRUE,2000-07-04,1,1,186
111-O28B,2011,4,2321.12790,2011.83383,2011-06-28,2011-07-07,4,4,NA,R1,NA,179,188,171,PG 2,1,SY,2,ASY,65,6.074766355140187,2401.76907,NA,11.4,7,FALSE,2011-07-16,0,1,197
112-N26B,2012,5,2511.98501,2401.76858,2012-06-07,2012-06-15,5,5,2012-06-24,1,NA,159,167,149,MO,1,SY,1,SY,108,10.093457943925234,2511.98635,U,11.4,7,FALSE,2012-06-24,0,1,176
115-O25C,2015,5,2521.77429,2521.77498,2015-06-18,2015-06-28,4,4,2015-07-07,ER1,NA,169,179,161,MO,1,SY,1,SY,56,5.233644859813085,2521.77756,U,11.4,7,FALSE,2015-07-07,0,1,188
115-O26A,2015,4,2521.77636,2521.77524,2015-05-31,2015-06-10,4,4,2015-06-19,1,NA,151,161,144,PG 1,1,SY,1,SY,56,5.233644859813085,2521.77673,U,11.4,7,FALSE,2015-06-19,0,1,170
118-N31D,2018,3,2631.94977,2631.94825,2018-07-03,2018-07-12,2,2,2018-07-21,RRR1,NA,184,193,177,MO,1,SY,1,SY,72,6.728971962616823,2631.95058,NA,11.4,7,FALSE,2018-07-21,0,1,202
118-L27B,2018,3,2631.94986,1741.82291,2018-07-05,2018-07-16,3,3,2018-07-25,ERR1,NA,186,197,181,MO,1,SY,1,SY,72,6.728971962616823,2631.95062,NA,11.4,7,FALSE,2018-07-25,0,1,206
102-M29D,2002,4,930.59518,930.59854,2002-06-15,2002-06-26,3,2,2002-07-07,ER1,NA,166,177,160,PG 2,1,SY,2,ASY,110,10.280373831775702,1741.07282,U,11.4,7,FALSE,2002-07-07,0,1,188
102-K25B,2002,5,1560.05106,1560.05015,2002-06-07,2002-06-16,5,1,2002-06-27,1,NA,158,167,149,PG 2,1,SY,1,SY,110,10.280373831775702,1741.07167,U,11.5,7,FALSE,2002-06-27,0,1,178
102-P23A,2002,4,1741.07012,1560.05097,2002-06-13,2002-06-24,4,1,2002-07-03,1,NA,164,175,158,PG 1,1,SY,1,SY,110,10.280373831775702,1741.07265,U,11.5,7,FALSE,2002-07-03,0,1,184
89-M20D,1989,4,2011.81177,2011.81114,1989-06-05,1989-06-14,4,4,1989-06-23,1,NA,156,165,148,PG 2,2,ASY,2,ASY,117,10.934579439252337,2021.76464,U,11.5,7,FALSE,1989-06-23,0,1,174
91-M18A,1991,4,2011.81361,2021.76438,1991-06-07,1991-06-11,3,2,1991-06-20,1,NA,158,162,145,MO,3,ASY,2,ASY,110,10.280373831775702,2031.56961,F,11.5,7,TRUE,1991-06-20,1,1,171
89-M25E,1989,5,2011.81916,2021.76122,1989-07-01,1989-07-02,5,4,1989-07-11,2,NA,182,183,165,MO,1,SY,1,SY,117,10.934579439252337,2021.76388,U,11.5,7,FALSE,1989-07-11,0,2,192
91-P25B,1991,5,2011.81954,2011.81137,1991-07-01,1991-07-03,5,4,1991-07-12,2,NA,182,184,166,MO,2,ASY,2,ASY,110,10.280373831775702,2031.57091,M,11.5,7,TRUE,1991-07-12,1,2,193
91-K24A,1991,4,2021.76158,2021.76587,1991-06-25,1991-06-27,4,4,1991-07-06,R1,NA,176,178,161,MO,2,ASY,2,ASY,110,10.280373831775702,2031.57071,U,11.5,7,FALSE,1991-07-06,0,1,187
91-N31D,1991,4,2031.56012,2031.56545,1991-06-27,1991-07-05,4,1,1991-07-14,R1,NA,178,186,169,PG 2,1,SY,1,SY,110,10.280373831775702,2031.57304,U,11.5,7,FALSE,1991-07-14,0,1,195
100-N30C,2000,4,2031.57561,2121.65535,2000-06-08,2000-06-15,4,2,2000-06-26,1,NA,160,167,150,PG 2,1,SY,2,ASY,80,7.476635514018692,2031.56257,U,11.5,7,FALSE,2000-06-26,0,1,178
99-M19D,1999,4,2031.58841,2121.65147,1999-07-05,1999-07-05,4,3,NA,2,NA,186,186,169,MO,4,ASY,2,ASY,111,10.373831775700936,2121.65974,U,11.5,7,FALSE,1999-07-14,0,2,195
98-M19C,1998,5,2031.58878,2031.58870,1998-07-01,1998-07-10,5,5,NA,2,NA,182,191,173,MO,2,ASY,2,ASY,82,7.663551401869159,2121.65577,U,11.5,7,FALSE,1998-07-19,0,2,200
118-M27B,2018,4,2031.60694,2031.60673,2018-06-22,2018-07-02,4,4,2018-07-12,ERR1,NA,173,183,166,MO,1,SY,1,SY,72,6.728971962616823,2631.94997,NA,11.5,7,FALSE,2018-07-12,0,1,193
