nest_key,year,eggs_laid,female_id,male_id,found_date,hatch_date,eggs_hatched,fledglings,fledge_date,clutch_number,fail_date,found_day,hatch_day,first_egg_day,female_status,female_age,female_age_code,male_age,male_age_code,popn_size,annual_density,band_id,sex,weight,age_in_days,recruited,fledge_date_noNA,recruited.f,clutch_num,fledge_day
111-O27A,2011,2,2011.83384,1741.81991,2011-07-13,2011-07-21,2,2,NA,2,NA,194,202,187,PG 2,2,ASY,3,ASY,65,6.074766355140187,2401.76949,NA,6.9,7,FALSE,2011-07-30,0,2,211
89-O24D,1989,4,2021.76148,2021.76109,1989-06-13,1989-06-18,4,4,1989-06-27,E1,NA,164,169,152,MO,1,SY,1,SY,117,10.934579439252337,2021.76514,U,6.9,7,FALSE,1989-06-27,0,1,178
102-M26B,2002,4,930.59733,930.59599,2002-06-14,2002-06-20,4,4,2002-07-03,1,NA,165,171,154,PG 2,2,ASY,1,SY,110,10.280373831775702,1741.07205,U,6.9,7,FALSE,2002-07-03,0,1,184
112-P24B,2012,4,2401.76891,2401.76835,2012-06-01,2012-06-10,3,3,2012-06-19,1,2012-06-10,153,162,145,PG 1,1,SY,1,SY,108,10.093457943925234,2511.98591,U,7,7,FALSE,2012-06-19,0,1,171
112-L32E,2012,4,2401.76998,2401.76837,2012-06-25,2012-07-05,3,3,2012-07-14,RR1,NA,177,187,170,MO,1,SY,1,SY,108,10.093457943925234,2511.98689,U,7,7,FALSE,2012-07-14,0,1,196
102-M32B,2002,4,1560.05109,1560.04586,2002-06-07,2002-06-16,4,3,2002-06-27,1,NA,158,167,150,PG 2,1,SY,2,ASY,110,10.280373831775702,1741.07169,U,7.2,7,FALSE,2002-06-27,0,1,178
88-L26B,1988,5,2011.81166,940.25643,1988-07-13,1988-07-24,5,5,1988-08-02,2,NA,195,206,188,PG 2,1,SY,2,ASY,104,9.7196261682243,2020.39702,U,7.2,7,FALSE,1988-08-02,0,2,215
101-M29C,2001,4,2031.57573,930.59854,2001-06-21,2001-07-02,4,4,NA,R1,NA,172,183,166,MO,1,SY,1,SY,96,8.971962616822431,930.59689,U,7.2,7,FALSE,2001-07-11,0,1,192
114-N24B,2014,4,2321.12880,2401.76988,2014-06-23,2014-07-02,4,4,2014-07-11,RR1,NA,174,183,166,MO,3,ASY,2,ASY,62,5.794392523364486,2521.77434,U,7.2,7,TRUE,2014-07-11,1,1,192
113-M32E,2013,4,2511.98828,2511.98822,2013-06-25,2013-07-06,4,3,2013-07-18,R1,NA,176,187,170,MO,1,SY,1,SY,103,9.626168224299066,2591.93547,U,7.2,7,FALSE,2013-07-18,0,1,199
113-N31D,2013,4,2511.98852,2401.77000,2013-06-29,2013-07-11,4,2,2013-07-20,1,NA,180,192,175,PG 2,1,SY,2,ASY,103,9.626168224299066,2591.93564,U,7.2,7,FALSE,2013-07-20,0,1,201
88-M26D,1988,3,940.25872,940.25926,1988-07-11,1988-07-22,3,2,1988-07-31,2,NA,193,204,188,MO,2,ASY,2,ASY,104,9.7196261682243,2020.39708,U,7.2,7,FALSE,1988-07-31,0,2,213
92-M29C,1992,4,2021.76557,2031.56968,1992-07-06,1992-07-12,4,4,1992-07-21,2,NA,188,194,177,MO,3,ASY,1,SY,96,8.971962616822431,2031.58204,U,7.3,7,FALSE,1992-07-21,0,2,203
99-P25A,1999,5,2121.65609,2121.65395,1999-07-10,1999-07-04,4,4,NA,R1,NA,191,185,167,MO,1,SY,1,SY,111,10.373831775700936,2121.65971,U,7.3,7,FALSE,1999-07-13,0,1,194
115-P24A,2015,4,2321.12870,2401.76835,2015-06-26,2015-07-04,4,4,2015-07-13,2,NA,177,185,168,MO,4,ASY,4,ASY,56,5.233644859813085,2521.77779,U,7.3,7,FALSE,2015-07-13,0,2,194
121-N27B,2021,5,2781.39252,2781.39227,2021-06-03,2021-06-17,5,5,2021-06-26,1,NA,154,168,150,MO,2,ASY,2,ASY,77,7.196261682242991,2781.39385,NA,7.3,7,FALSE,2021-06-26,0,1,177
96-N27B,1996,4,2031.58877,2121.64601,1996-06-09,1996-06-18,4,4,NA,1,NA,161,170,153,MO,1,SY,1,SY,73,6.822429906542056,2121.64465,U,7.4,7,FALSE,1996-06-27,0,1,179
113-N27A,2013,4,2511.98537,1741.81991,2013-05-31,2013-06-10,4,4,2013-06-19,1,NA,151,161,144,MO,2,ASY,5,ASY,103,9.626168224299066,2591.93417,U,7.4,7,FALSE,2013-06-19,0,1,170
102-M30B,2002,4,930.59814,1560.04550,2002-06-14,2002-06-22,4,1,2002-07-01,1,NA,165,173,156,MO,2,ASY,2,ASY,110,10.280373831775702,1741.07232,U,7.4,7,FALSE,2002-07-01,0,1,182
90-P25B,1990,4,2011.81954,2011.81370,1990-07-08,1990-07-12,4,4,1990-07-21,2,NA,189,193,176,MO,2,ASY,2,ASY,100,9.345794392523365,2031.56516,U,7.5,7,FALSE,1990-07-21,0,2,202
93-N24D,1993,4,2031.56844,2031.57967,1993-07-07,1993-07-11,4,4,1993-07-20,2,NA,188,192,175,PG 2,2,ASY,1,SY,92,8.598130841121495,2031.58795,U,7.5,7,FALSE,1993-07-20,0,2,201
96-O27B,1996,6,2031.58840,2121.64401,1996-06-19,1996-06-28,6,4,NA,ER1,NA,171,180,161,PG 2,1,SY,1,SY,73,6.822429906542056,2121.64812,U,7.6,7,FALSE,1996-07-07,0,1,189
99-N24A,1999,5,2121.64995,2151.80211,1999-06-18,1999-06-26,5,4,NA,R1,NA,169,177,159,PG 2,2,ASY,5,ASY,111,10.373831775700936,2121.65942,U,7.6,7,FALSE,1999-07-05,0,1,186
102-P26B,2002,4,1741.07028,1560.04558,2002-06-29,2002-07-07,4,3,2002-07-17,R1,NA,180,188,171,MO,1,SY,2,ASY,110,10.280373831775702,1741.07077,U,7.7,7,FALSE,2002-07-17,0,1,198
112-M20D,2012,4,2321.12882,2321.12712,2012-07-08,2012-07-19,4,3,2012-07-28,2,NA,190,201,184,PG 1,2,ASY,2,ASY,108,10.093457943925234,2511.98795,U,7.7,7,FALSE,2012-07-28,0,2,210
118-M32E,2018,4,2621.66821,2031.60059,2018-07-08,2018-07-12,4,4,2018-07-21,R1,NA,189,193,176,MO,2,ASY,2,ASY,72,6.728971962616823,2631.95056,NA,7.7,7,FALSE,2018-07-21,0,1,202
117-O28D,2017,5,1741.82300,2621.66941,2017-07-03,2017-07-06,4,4,2017-07-15,RR1,NA,184,187,169,MO,1,SY,1,SY,65,6.074766355140187,2631.94836,U,7.8,7,FALSE,2017-07-15,0,1,196
112-P28A,2012,3,2511.98537,2511.98536,2012-06-07,2012-06-14,1,1,2012-06-23,1,NA,159,166,150,PG 2,1,SY,1,SY,108,10.093457943925234,2511.98633,U,7.8,7,FALSE,2012-06-23,0,1,175
121-M27C,2021,4,2781.39213,2031.60673,2021-06-26,2021-07-07,3,3,2021-07-16,2,NA,177,188,171,MO,2,ASY,4,ASY,77,7.196261682242991,2781.39429,NA,7.8,7,FALSE,2021-07-16,0,2,197
121-P24B,2021,4,2781.39240,2781.39241,2021-06-04,2021-06-12,4,4,2021-06-21,1,NA,155,163,146,MO,1,SY,1,SY,77,7.196261682242991,2781.39342,NA,7.8,7,FALSE,2021-06-21,0,1,172
102-N25B,2002,3,930.59569,930.59599,2002-06-18,2002-06-28,3,1,2002-07-08,ER1,NA,169,179,163,PG 1,1,SY,1,SY,110,10.280373831775702,1741.07287,U,7.8,7,FALSE,2002-07-08,0,1,189
101-O24B,2001,4,1560.04562,2031.56245,2001-06-15,2001-06-17,4,4,NA,1,NA,166,168,151,PG 2,1,SY,1,SY,96,8.971962616822431,930.59595,U,7.9,7,FALSE,2001-06-26,0,1,177
100-O24E,2000,4,2121.65625,2121.65378,2000-06-30,2000-07-10,4,2,2000-07-22,R1,NA,182,192,175,MO,1,SY,2,ASY,80,7.476635514018692,930.59762,U,7.9,7,FALSE,2000-07-22,0,1,204
121-M28C,2021,5,2781.39238,2781.39253,2021-06-03,2021-06-15,5,4,2021-06-24,1,NA,154,166,148,MO,1,SY,1,SY,77,7.196261682242991,2781.39370,NA,7.9,7,FALSE,2021-06-24,0,1,175
