RowNumber,ID,forehead
1,0001,17.22107856
2,0001,14.37777175
3,0001,34.71968789
4,0001,25.13702714
5,0001,19.00632709
6,0002,22.58190007
7,0002,25.35667444
8,0002,25.1071146
9,0002,21.65937642
10,0002,22.94822808
11,0003,31.38460056
12,0003,32.89584355
13,0003,37.94646031
14,0003,30.29747133
15,0003,36.37815075
16,0004,23.08379432
17,0004,21.3819473
18,0004,28.57137303
19,0004,27.73904837
20,0004,25.04241836
21,0005,21.58002268
22,0005,20.08395685
23,0005,22.97996254
24,0005,22.29865147
25,0005,28.27782128
26,0006,20.55310041
27,0006,17.13847911
28,0006,20.790266
29,0006,20.59285346
30,0006,20.53421901
31,0007,16.40849511
32,0007,13.30978825
33,0007,17.08593971
34,0007,10.98937015
35,0007,24.97242467
36,0008,10.02148341
37,0008,17.86812957
38,0008,14.24864712
39,0008,11.17717539
40,0008,16.43576577
41,0009,33.42807601
42,0009,33.36818533
43,0009,34.16432202
44,0009,33.31699103
45,0009,31.43646049
46,001-16,21.66211467
47,001-16,21.30771104
48,001-16,26.33422201
49,001-16,19.94975519
50,001-16,25.35303285
51,001-17,25.8342591
52,001-17,18.54302742
53,001-17,11.5763521
54,001-17,9.853353256
55,001-17,9.666427347
56,0010,17.74636959
57,0010,32.38208606
58,0010,18.72817594
59,0010,20.23291526
60,0010,20.91198569
61,0011,13.56915286
62,0011,12.85328125
63,0011,11.01619212
64,0011,12.74591622
65,0011,10.95943535
66,0013,17.90380753
67,0013,18.60013958
68,0013,23.54818178
69,0013,22.9221961
70,0013,19.97853856
71,0014,25.29282078
72,0014,10.06894228
73,0014,27.64664165
74,0014,23.81617543
75,0014,16.82563461
76,0015,12.31716063
77,0015,11.97607146
78,0015,10.36699813
79,0015,10.16399449
80,0015,10.40307146
81,0016,23.5190448
82,0016,27.83074116
83,0016,23.57424981
84,0016,13.84079511
85,0016,15.51653032
86,0017,18.68033493
87,0017,20.24351935
88,0017,29.89461717
89,0017,9.617765783
90,0017,16.62023039
91,0018,35.02682532
92,0018,27.93995573
93,0018,22.26919079
94,0018,28.04497334
95,0018,35.37067713
96,0019,38.02781645
97,0019,33.34878974
98,0019,25.28951602
99,0019,33.66727714
100,0019,33.68420454
101,002-16,39.79320873
102,002-16,29.22645874
103,002-16,33.70586038
104,002-16,40.89804073
105,002-16,31.86275609
106,0021,35.27874201
107,0021,33.83130714
108,0021,35.62793086
109,0021,35.939301
110,0021,28.24832169
111,0022,32.48024601
112,0022,38.11946281
113,0022,28.56383376
114,0022,27.38240357
115,0022,34.68957811
116,0023,13.46978401
117,0023,5.770857428
118,0023,10.06802914
119,0023,15.85654537
120,0023,12.24003562
121,0024,13.77129424
122,0024,29.57114692
123,0024,21.57643267
124,0024,19.0357584
125,0024,15.30253516
126,0025,12.86033004
127,0025,9.517777207
128,0025,20.40426721
129,0025,14.89023368
130,0025,12.45301003
131,0027,41.50170482
132,0027,38.67077926
133,0027,42.8680812
134,0027,39.30819692
135,0027,40.3708912
136,0028,13.09125998
137,0028,15.76745307
138,0028,15.00850761
139,0028,10.49828143
140,0028,10.71956702
141,0029,14.28311425
142,0029,20.15199978
143,0029,25.62879096
144,0029,32.34134596
145,0029,20.09516189
146,0031,14.82670235
147,0031,16.53408482
148,0031,18.06785323
149,0031,17.58548448
150,0031,14.98632077
151,0032,14.9996515
152,0032,11.04403202
153,0032,10.61213818
154,0032,13.51617332
155,0032,14.27116078
156,0033,5.807614644
157,0033,13.57910536
158,0033,9.47849581
159,0033,8.282988105
160,0033,8.755664647
161,0034,27.23350719
162,0034,35.11889716
163,0034,46.39451983
164,0034,30.80149284
165,0034,29.88055841
166,0035,21.0697606
167,0035,27.63676098
168,0035,28.19179682
169,0035,24.71193982
170,0035,17.68469414
171,0036,15.7198158
172,0036,22.85365659
173,0036,28.21570975
174,0036,23.15178881
175,0036,22.35151908
176,0037,17.88860456
177,0037,28.41281767
178,0037,20.96464512
179,0037,19.12391703
180,0037,16.57753804
181,0038,26.28290373
182,0038,25.4418157
183,0038,17.63816737
184,0038,17.26548684
185,0038,29.55759062
186,0039,26.12287445
187,0039,24.46522337
188,0039,31.97402915
189,0039,25.96394189
190,0039,24.29529213
191,0040,13.82838203
192,0040,18.30724157
193,0040,27.26427832
194,0040,20.14002628
195,0040,16.98384308
196,0041,15.72409202
197,0041,21.79830738
198,0041,19.42124201
199,0041,17.16665425
200,0041,16.11598816
201,0042,13.1100389
202,0042,23.88343419
203,0042,12.72938343
204,0042,11.69679441
205,0042,19.1707075
206,0043,11.57250232
207,0043,25.24460272
208,0043,23.98680749
209,0043,30.39145622
210,0043,26.96839938
211,0044,9.909873025
212,0044,12.56491819
213,0044,13.47194678
214,0044,8.107154644
215,0044,16.38725796
216,0045,29.98914569
217,0045,25.28474422
218,0045,31.82811169
219,0045,28.64874428
220,0045,23.47251468
221,0046,12.78039275
222,0046,18.91984365
223,0046,19.85631558
224,0046,17.06143446
225,0046,11.79076706
226,0048,14.52946265
227,0048,24.73886395
228,0048,14.23108322
229,0048,20.15375566
230,0048,25.3984959
231,0049,13.04780653
232,0049,20.00179332
233,0049,21.14628009
234,0049,28.25396115
235,0049,26.7182112
236,0050,23.50648411
237,0050,25.92390356
238,0050,30.52069746
239,0050,29.170156
240,0050,24.05211233
241,0051,33.01740215
242,0051,25.8624375
243,0051,21.00199673
244,0051,24.86046718
245,0051,21.68879012
246,0052,38.65855313
247,0052,21.65132886
248,0052,18.994042
249,0052,34.37235972
250,0052,38.1700792
251,0053,17.06814604
252,0053,27.8220414
253,0053,28.77772828
254,0053,22.25687039
255,0053,24.57270125
256,0054,17.66096285
257,0054,21.41764545
258,0054,22.68241471
259,0054,24.32952981
